void_shape_circle,void_shape_ellipse,void_shape_irregular,void_count_mean,void_count_std,base_size_mean,base_size_std,rotation_mean,rotation_std,center_x_mean,center_x_std,center_y_mean,center_y_std,position_spread_mean,position_spread_std
0.25,0.45,0.30,4.2,2.8,9.8,2.5,175.3,85.2,0.52,0.14,0.48,0.13,0.48,0.12
0.18,0.52,0.30,5.1,3.2,10.5,3.1,182.7,92.4,0.49,0.16,0.51,0.15,0.52,0.14
0.22,0.48,0.30,3.8,2.5,9.2,2.2,168.9,78.5,0.54,0.12,0.46,0.11,0.45,0.10
0.20,0.50,0.30,4.7,3.0,10.1,2.8,179.4,88.7,0.50,0.15,0.50,0.14,0.50,0.13
0.26,0.44,0.30,3.9,2.6,9.5,2.4,172.8,82.3,0.53,0.13,0.47,0.12,0.47,0.11
0.19,0.51,0.30,5.3,3.4,10.8,3.3,185.6,95.1,0.48,0.17,0.52,0.16,0.53,0.15
0.23,0.47,0.30,4.0,2.7,9.7,2.6,176.2,86.9,0.51,0.14,0.49,0.13,0.49,0.12
0.21,0.49,0.30,4.5,2.9,10.3,2.9,180.8,90.2,0.50,0.15,0.50,0.14,0.51,0.13
0.24,0.46,0.30,4.3,2.8,9.9,2.7,177.5,87.6,0.52,0.14,0.48,0.13,0.48,0.12
0.20,0.50,0.30,4.9,3.1,10.6,3.0,183.3,93.8,0.49,0.16,0.51,0.15,0.52,0.14
0.22,0.48,0.30,3.7,2.4,9.3,2.3,170.1,79.8,0.54,0.12,0.46,0.11,0.46,0.10
0.25,0.45,0.30,4.6,3.0,10.2,2.8,178.9,89.4,0.51,0.15,0.49,0.14,0.50,0.13
0.19,0.51,0.30,5.2,3.3,10.7,3.2,184.8,94.5,0.48,0.17,0.52,0.16,0.53,0.15
0.23,0.47,0.30,4.1,2.7,9.8,2.6,175.6,85.7,0.51,0.14,0.49,0.13,0.49,0.12
0.21,0.49,0.30,4.4,2.9,10.0,2.7,179.2,88.1,0.50,0.15,0.50,0.14,0.50,0.13
